"caso","semilla_instancia","configuracion","semilla","generacion","mejor_makespan"
"Base","proporcionada","C",3,38,300
"Base","proporcionada","C",3,39,300
"Base","proporcionada","C",3,40,300
"Base","proporcionada","C",3,41,300
"Base","proporcionada","C",3,42,300
"Base","proporcionada","C",3,43,300
"Base","proporcionada","C",3,44,300
"Base","proporcionada","C",3,45,300
"Base","proporcionada","C",3,46,300
"Base","proporcionada","C",3,47,300
"Base","proporcionada","C",3,48,300
"Base","proporcionada","C",3,49,300
"Base","proporcionada","C",3,50,300
"Base","proporcionada","D",1,1,300
"Base","proporcionada","D",1,2,300
"Base","proporcionada","D",1,3,300
"Base","proporcionada","D",1,4,300
"Base","proporcionada","D",1,5,300
"Base","proporcionada","D",1,6,300
"Base","proporcionada","D",1,7,300
"Base","proporcionada","D",1,8,300
"Base","proporcionada","D",1,9,300
"Base","proporcionada","D",1,10,300
"Base","proporcionada","D",1,11,300
"Base","proporcionada","D",1,12,300
"Base","proporcionada","D",1,13,300
"Base","proporcionada","D",1,14,300
"Base","proporcionada","D",1,15,300
"Base","proporcionada","D",1,16,300
"Base","proporcionada","D",1,17,300
"Base","proporcionada","D",1,18,300
"Base","proporcionada","D",1,19,300
"Base","proporcionada","D",1,20,300
"Base","proporcionada","D",1,21,300
"Base","proporcionada","D",1,22,300
"Base","proporcionada","D",1,23,300
"Base","proporcionada","D",1,24,300
"Base","proporcionada","D",1,25,300
"Base","proporcionada","D",1,26,300
"Base","proporcionada","D",1,27,300
"Base","proporcionada","D",1,28,300
"Base","proporcionada","D",1,29,300
"Base","proporcionada","D",1,30,300
"Base","proporcionada","D",1,31,300
"Base","proporcionada","D",1,32,300
"Base","proporcionada","D",1,33,300
"Base","proporcionada","D",1,34,300
"Base","proporcionada","D",1,35,300
"Base","proporcionada","D",1,36,300
"Base","proporcionada","D",1,37,300
"Base","proporcionada","D",1,38,300
"Base","proporcionada","D",1,39,300
"Base","proporcionada","D",1,40,300
"Base","proporcionada","D",1,41,300
"Base","proporcionada","D",1,42,300
"Base","proporcionada","D",1,43,300
"Base","proporcionada","D",1,44,300
"Base","proporcionada","D",1,45,300
"Base","proporcionada","D",1,46,300
"Base","proporcionada","D",1,47,300
"Base","proporcionada","D",1,48,300
"Base","proporcionada","D",1,49,300
"Base","proporcionada","D",1,50,300
"Base","proporcionada","D",2,1,300
"Base","proporcionada","D",2,2,300
"Base","proporcionada","D",2,3,300
"Base","proporcionada","D",2,4,300
"Base","proporcionada","D",2,5,300
"Base","proporcionada","D",2,6,300
"Base","proporcionada","D",2,7,300
"Base","proporcionada","D",2,8,300
"Base","proporcionada","D",2,9,300
"Base","proporcionada","D",2,10,300
"Base","proporcionada","D",2,11,300
"Base","proporcionada","D",2,12,300
"Base","proporcionada","D",2,13,300
"Base","proporcionada","D",2,14,300
"Base","proporcionada","D",2,15,300
"Base","proporcionada","D",2,16,300
"Base","proporcionada","D",2,17,300
"Base","proporcionada","D",2,18,300
"Base","proporcionada","D",2,19,300
"Base","proporcionada","D",2,20,300
"Base","proporcionada","D",2,21,300
"Base","proporcionada","D",2,22,300
"Base","proporcionada","D",2,23,300
"Base","proporcionada","D",2,24,300
"Base","proporcionada","D",2,25,300
"Base","proporcionada","D",2,26,300
"Base","proporcionada","D",2,27,300
"Base","proporcionada","D",2,28,300
"Base","proporcionada","D",2,29,300
"Base","proporcionada","D",2,30,300
"Base","proporcionada","D",2,31,300
"Base","proporcionada","D",2,32,300
"Base","proporcionada","D",2,33,300
"Base","proporcionada","D",2,34,300
"Base","proporcionada","D",2,35,300
"Base","proporcionada","D",2,36,300
"Base","proporcionada","D",2,37,300
"Base","proporcionada","D",2,38,300
"Base","proporcionada","D",2,39,300
"Base","proporcionada","D",2,40,300
"Base","proporcionada","D",2,41,300
"Base","proporcionada","D",2,42,300
"Base","proporcionada","D",2,43,300
"Base","proporcionada","D",2,44,300
"Base","proporcionada","D",2,45,300
"Base","proporcionada","D",2,46,300
"Base","proporcionada","D",2,47,300
"Base","proporcionada","D",2,48,300
"Base","proporcionada","D",2,49,300
"Base","proporcionada","D",2,50,300
"Base","proporcionada","D",3,1,300
"Base","proporcionada","D",3,2,300
"Base","proporcionada","D",3,3,280
"Base","proporcionada","D",3,4,280
"Base","proporcionada","D",3,5,280
"Base","proporcionada","D",3,6,280
"Base","proporcionada","D",3,7,280
"Base","proporcionada","D",3,8,280
"Base","proporcionada","D",3,9,280
"Base","proporcionada","D",3,10,280
"Base","proporcionada","D",3,11,280
"Base","proporcionada","D",3,12,280
"Base","proporcionada","D",3,13,280
"Base","proporcionada","D",3,14,280
"Base","proporcionada","D",3,15,280
"Base","proporcionada","D",3,16,280
"Base","proporcionada","D",3,17,280
"Base","proporcionada","D",3,18,280
"Base","proporcionada","D",3,19,280
"Base","proporcionada","D",3,20,280
"Base","proporcionada","D",3,21,280
"Base","proporcionada","D",3,22,280
"Base","proporcionada","D",3,23,280
"Base","proporcionada","D",3,24,280
"Base","proporcionada","D",3,25,280
"Base","proporcionada","D",3,26,280
"Base","proporcionada","D",3,27,280
"Base","proporcionada","D",3,28,280
"Base","proporcionada","D",3,29,280
"Base","proporcionada","D",3,30,280
