caso,semilla_instancia,configuracion,semilla,generacion,mejor_makespan
Mediano,1514,A,2,8,861.0
Mediano,1514,A,2,9,861.0
Mediano,1514,A,2,10,861.0
Mediano,1514,A,2,11,861.0
Mediano,1514,A,2,12,861.0
Mediano,1514,A,2,13,861.0
Mediano,1514,A,2,14,861.0
Mediano,1514,A,2,15,861.0
Mediano,1514,A,2,16,861.0
Mediano,1514,A,2,17,861.0
Mediano,1514,A,2,18,861.0
Mediano,1514,A,2,19,861.0
Mediano,1514,A,2,20,861.0
Mediano,1514,A,2,21,861.0
Mediano,1514,A,2,22,861.0
Mediano,1514,A,2,23,861.0
Mediano,1514,A,2,24,861.0
Mediano,1514,A,2,25,861.0
Mediano,1514,A,2,26,861.0
Mediano,1514,A,2,27,861.0
Mediano,1514,A,2,28,861.0
Mediano,1514,A,2,29,861.0
Mediano,1514,A,2,30,861.0
Mediano,1514,A,2,31,861.0
Mediano,1514,A,2,32,861.0
Mediano,1514,A,2,33,861.0
Mediano,1514,A,2,34,861.0
Mediano,1514,A,2,35,861.0
Mediano,1514,A,2,36,861.0
Mediano,1514,A,2,37,861.0
Mediano,1514,A,2,38,861.0
Mediano,1514,A,2,39,861.0
Mediano,1514,A,2,40,861.0
Mediano,1514,A,2,41,861.0
Mediano,1514,A,2,42,861.0
Mediano,1514,A,2,43,861.0
Mediano,1514,A,2,44,861.0
Mediano,1514,A,2,45,861.0
Mediano,1514,A,2,46,861.0
Mediano,1514,A,2,47,861.0
Mediano,1514,A,2,48,861.0
Mediano,1514,A,2,49,861.0
Mediano,1514,A,2,50,861.0
Mediano,1514,A,3,1,949.0
Mediano,1514,A,3,2,949.0
Mediano,1514,A,3,3,935.0
Mediano,1514,A,3,4,905.0
Mediano,1514,A,3,5,905.0
Mediano,1514,A,3,6,905.0
Mediano,1514,A,3,7,905.0
Mediano,1514,A,3,8,905.0
Mediano,1514,A,3,9,830.0
Mediano,1514,A,3,10,830.0
Mediano,1514,A,3,11,830.0
Mediano,1514,A,3,12,830.0
Mediano,1514,A,3,13,830.0
Mediano,1514,A,3,14,830.0
Mediano,1514,A,3,15,830.0
Mediano,1514,A,3,16,830.0
Mediano,1514,A,3,17,830.0
Mediano,1514,A,3,18,830.0
Mediano,1514,A,3,19,830.0
Mediano,1514,A,3,20,830.0
Mediano,1514,A,3,21,830.0
Mediano,1514,A,3,22,830.0
Mediano,1514,A,3,23,830.0
Mediano,1514,A,3,24,830.0
Mediano,1514,A,3,25,830.0
Mediano,1514,A,3,26,830.0
Mediano,1514,A,3,27,830.0
Mediano,1514,A,3,28,830.0
Mediano,1514,A,3,29,830.0
Mediano,1514,A,3,30,830.0
Mediano,1514,A,3,31,830.0
Mediano,1514,A,3,32,830.0
Mediano,1514,A,3,33,830.0
Mediano,1514,A,3,34,830.0
Mediano,1514,A,3,35,830.0
